Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
เบอร์ดี้เอสเปรสโซ180ml,10014,เบอร์ดี้เอสเปรสโซ180ml,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,12.89,8850250006015,,,Y,,บริษัท สยามแม็คโคร จำกัด (มหาชน),0.00,Y,17.00,14.000,0.000,
เบียร์-snowy-rose-490ml.,10179,เบียร์ Snowy Rose 490ml.,เบียร์,,N,,,,,,,54.66,8850999018348,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,59.00,8.000,6.000,12.000
เบียร์-snowy-weizen-490ml.,10068,เบียร์ Snowy Weizen 490ml.,เบียร์,,N,,,,,,,50.66,8850999011677,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,59.00,13.000,6.000,12.000
เบียร์-snowy-yuzu-490ml.,10241,เบียร์ Snowy Yuzu 490ml.,เบียร์,,N,,,,,,,54.66,8850999020662,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,59.00,16.000,6.000,12.000
เบียร์-snowy-นิวอิงแลนด์ไอพีเอ-490ml.,10249,เบียร์ Snowy นิวอิงแลนด์ไอพีเอ 490ml.,เบียร์,,N,,,,,,,70.66,8850999022314,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,79.00,4.000,6.000,12.000
ลีโอป๋องยาว-(490ml),10608,เบียร์ลีโอกระป๋อง 490ml.,เบียร์,,N,,,,,,,45.39,8850999009674,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,53.00,87.000,12.000,24.000
เบียร์ลีโอสุพรีมกระป๋อง-490ml.,10006,เบียร์ลีโอสุพรีมกระป๋อง 490ml.,เบียร์,,N,,,,,,,48.08,8850999024516,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,54.00,42.000,18.000,38.000
เบียร์สิงห์-ุ620ml,10196,เบียร์สิงห์ 620ml,เบียร์,,N,,,,,,,57.33,8850999111001,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,64.00,26.000,6.000,24.000
สิงห์-ป๋องยาว-490ml.,10026,เบียร์สิงห์กระป๋อง 490ml.,เบียร์,,N,,,,,,,50.15,8850999014616,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,56.00,35.000,24.000,48.000
เบียร์อาซาฮีกระป๋อง-490ml.,10032,เบียร์อาซาฮีกระป๋อง 490ml.,เบียร์,,N,,,,,,,59.66,8850999014463,,,Y,,หสน.อรพรรณ นครพนม,0.00,Y,79.00,9.000,6.000,12.000
เบียร์โคโรน่า-เอ็กซ์ตร้า-4.5%-330ml.,10340,เบียร์โคโรน่า เอ็กซ์ตร้า 4.5% 330ml.,เบียร์,,N,,,,,,,67.08,6915878221577,,,Y,,หสน.อรพรรณ นครพนม,,Y,69.00,29.000,24.000,48.000
เป๊ปซี่325ml,10012,เป๊ปซี่325ml,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,12.58,8858998581559,,,Y,,บริษัท สยามแม็คโคร จำกัด (มหาชน),0.00,Y,16.00,61.000,15.000,
เฝอเนื้อ-เจอกันนครพนม-(ชุด-5-ห่อ),10506,เฝอเนื้อ เจอกันนครพนม (ชุด 5 ห่อ),ของแห้งและเครื่องปรุง,,N,,,,,,,,JC10506,10879,5.000,N,N,,,Y,150.00,,,
